403,94,60,67
404,97,55,68
389,103,57,65
345,116,68,60
330,119,57,59
307,112,65,63
294,106,63,58
293,97,65,68
299,97,80,51
303,89,79,56
308,83,80,48
315,55,62,73
325,63,81,67
308,59,92,67
330,51,75,64
309,49,88,67
300,50,88,70
315,56,70,73
303,63,72,79
289,63,87,83
292,71,80,81
282,69,75,91
275,75,72,91
258,91,71,81
245,91,65,98
244,103,60,96
239,109,63,98
243,116,56,103
241,115,56,104
248,113,58,101
255,113,58,101
272,107,58,98
278,96,55,104
282,92,56,103
287,89,55,108
294,92,59,96
304,93,65,100
308,95,68,96
311,94,80,96
315,95,94,109
318,97,104,109
329,102,99,108
337,127,90,92
321,130,102,95
316,132,104,94
313,141,113,80
308,130,117,95
295,129,125,103
286,131,128,99
276,123,127,100
281,128,113,91
264,112,124,101
263,108,125,93
258,89,131,107
259,92,135,124
261,93,138,135
258,93,133,129
261,92,127,134
262,85,129,144
279,86,107,143
274,79,99,148
285,80,91,145
289,79,83,160
290,92,76,152
287,93,71,146
282,45,73,187
280,41,75,176
271,46,71,161
267,35,73,167
270,19,72,198
270,28,72,179
269,19,75,179
272,15,68,181
277,19,67,181
279,17,69,172
282,23,67,173
287,23,76,182
285,26,75,180
297,33,70,169
300,32,69,166
304,46,68,141
307,51,78,176
309,50,69,164
316,47,72,171
316,55,74,159
316,61,77,163
318,54,76,169
321,54,72,172
323,58,73,171
322,61,73,165
327,61,71,162
324,61,67,166
322,66,69,166
324,62,67,149
320,66,79,166
315,69,89,146
312,71,118,155
312,120,169,133
352,134,163,153
320,109,209,185
327,127,210,157
337,138,194,148
348,150,234,140
343,149,248,141
444,194,141,107
371,173,243,145
350,165,264,150
350,181,279,147
401,184,202,137
328,169,238,136
309,172,243,137
360,182,191,111
360,173,169,113
328,145,179,135
323,125,147,142
313,103,93,124
286,139,133,103
284,142,138,83
283,137,136,78
264,88,139,131
230,51,165,150
215,47,145,129
197,17,123,134
169,4,132,114
155,2,139,88
138,0,145,87
143,0,116,51
346,3,70,50
508,196,32,46
414,108,59,73
515,142,33,76
520,152,32,65
561,132,36,38
518,80,29,31
539,103,22,37
558,134,27,27
580,154,36,25
610,176,21,37
615,202,24,58
500,142,30,25
440,92,37,52
460,110,37,43
471,120,40,53
490,127,35,52
490,127,35,52
585,223,41,60
585,223,41,60
603,234,35,57
396,303,72,52
316,197,83,41
315,199,82,43
317,196,77,43
315,193,73,44
324,191,61,42
308,187,75,53
306,182,69,62
308,179,66,76
308,179,55,86
307,182,47,88
313,185,38,83
310,191,34,82
309,190,34,80
313,188,34,83
310,193,43,101
305,205,49,96
307,204,50,104
304,198,59,94
303,191,58,88
297,184,68,81
298,174,67,84
304,168,58,92
293,167,62,102
294,159,61,98
301,150,49,98
310,150,49,94
306,145,49,91
305,148,46,74
301,150,53,64
293,143,61,73
290,142,65,77
282,128,86,95
292,141,80,93
285,142,85,90
287,129,85,99
291,129,85,97
299,137,85,98
285,138,97,94
275,133,108,109
303,157,76,83
467,3,71,70
316,164,61,85
272,138,77,77
267,135,80,80
260,138,71,63
255,134,71,59
295,173,76,81
260,140,118,125
252,175,124,114
266,138,122,134
281,148,100,129
301,148,80,119
304,148,107,136
321,155,109,132
328,177,108,133
341,211,90,99
342,212,90,97
331,170,97,141
341,174,86,122
341,172,73,109
331,169,66,85
325,165,77,97
317,164,72,91
305,162,79,89
290,166,81,77
279,158,82,80
258,150,79,83
244,151,90,80
227,140,85,85
