308,136,69,71
303,136,65,65
303,140,71,62
299,142,72,62
297,144,79,59
297,146,76,57
296,148,73,56
294,148,68,52
290,148,69,52
288,152,63,45
283,154,62,43
283,153,53,41
285,152,56,44
286,149,52,42
287,148,50,39
288,148,49,41
288,149,48,44
286,151,49,40
287,150,46,41
293,149,41,45
299,149,36,50
299,153,35,44
299,157,35,40
300,159,36,37
302,161,34,35
305,162,35,36
310,163,32,32
315,167,30,22
317,171,30,17
318,166,28,18
316,164,27,19
315,163,30,19
313,163,28,19
311,162,27,19
310,160,29,19
310,159,28,20
308,159,26,21
307,158,27,22
306,159,26,21
306,159,24,22
306,158,25,24
312,174,32,27
311,174,35,31
311,170,40,37
311,165,39,44
303,161,44,48
301,162,46,46
300,161,46,49
301,158,41,50
301,157,44,54
303,154,41,59
305,152,38,61
305,148,36,55
305,144,37,45
307,150,30,37
306,152,31,34
306,153,30,30
305,151,31,31
302,153,33,29
302,154,35,29
299,154,35,30
299,156,38,30
298,157,41,29
298,157,42,31
300,156,42,30
306,155,38,31
312,156,32,29
317,152,30,30
323,149,28,32
326,149,25,31
330,149,23,31
333,151,22,29
336,151,20,27
333,153,26,28
334,158,26,25
334,159,26,26
334,158,25,25
335,158,25,25
335,157,24,26
333,160,26,25
329,160,31,26
330,160,28,27
331,160,28,27
328,160,30,27
330,160,28,27
332,161,26,26
332,161,26,26
333,163,24,26
332,164,27,26
331,167,27,24
330,167,28,26
330,167,28,26
329,166,29,27
330,166,30,25
331,164,30,26
332,162,27,26
330,155,27,28
329,145,26,31
327,161,26,33
325,151,23,36
325,152,22,39
327,123,19,35
325,119,17,36
319,116,20,39
316,131,26,43
312,129,31,51
312,124,31,59
315,119,29,65
315,114,30,70
317,112,30,75
315,111,30,74
315,112,32,75
317,112,29,78
322,111,22,79
324,111,20,78
324,110,20,75
323,109,20,73
324,110,18,74
326,110,18,74
326,108,18,75
323,107,22,76
319,107,27,75
317,108,30,78
317,109,38,82
317,110,39,84
318,109,35,78
319,108,27,75
320,110,24,72
322,109,20,76
323,108,19,75
325,109,20,77
328,109,21,76
331,110,22,73
333,109,22,77
335,108,20,76
335,110,22,78
334,112,30,81
