234,80,52,37
232,79,50,38
231,78,50,39
230,78,50,38
228,78,51,38
227,79,52,36
227,77,50,38
226,78,48,37
226,77,47,37
225,76,47,36
226,76,47,36
226,75,47,39
226,75,48,37
227,76,47,37
226,75,48,38
227,76,50,38
227,76,47,43
231,78,46,44
232,77,45,45
233,79,44,44
233,75,43,45
232,73,47,46
230,68,48,48
228,61,48,45
228,57,48,46
227,50,48,44
226,45,52,42
228,35,54,42
230,27,53,41
230,24,55,43
234,16,54,48
238,11,48,52
242,7,45,54
240,10,47,56
240,12,45,52
238,25,51,49
235,36,54,40
230,48,65,43
238,65,59,43
238,68,60,43
243,76,50,50
246,79,54,53
249,88,44,55
252,92,39,53
252,95,40,52
252,96,41,51
250,92,42,53
249,89,41,49
244,85,47,43
242,85,50,40
242,78,52,37
243,71,53,37
244,64,53,35
251,57,47,38
252,57,46,37
250,51,50,42
253,50,48,43
257,53,44,44
247,65,52,40
247,68,52,40
245,81,55,42
246,93,52,39
252,109,48,37
259,118,40,43
262,114,38,50
265,124,35,45
270,127,31,43
272,129,27,40
270,125,30,44
270,129,28,38
262,122,32,40
257,110,34,45
252,102,35,46
246,92,40,42
239,87,47,43
236,75,50,44
235,71,50,38
235,64,53,36
237,56,55,37
239,54,53,39
245,49,48,40
248,47,47,42
250,48,46,44
250,53,47,43
250,55,47,44
250,64,49,42
252,72,47,38
253,80,49,39
253,83,47,37
255,95,49,30
257,102,48,31
262,111,47,31
265,119,48,32
278,127,43,40
284,127,55,41
269,146,66,34
274,140,65,40
281,137,57,44
284,135,55,46
280,130,59,51
276,134,55,50
282,130,55,47
272,128,63,46
259,133,67,37
263,127,64,39
255,112,52,44
255,103,43,44
251,91,49,40
247,82,53,44
245,71,53,39
247,62,51,35
250,55,49,35
256,47,44,40
262,45,38,43
266,45,40,47
267,48,40,48
269,53,40,47
268,64,36,40
268,77,36,42
251,83,43,35
279,97,43,33
281,112,40,25
281,123,43,29
288,134,46,34
289,130,43,41
292,145,39,41
292,144,29,41
294,144,25,37
292,141,22,37
286,130,26,38
280,122,26,45
267,114,35,47
256,107,45,40
248,95,50,40
245,85,50,38
242,73,54,37
242,61,54,39
244,54,53,37
249,47,50,39
253,42,45,44
261,41,39,46
266,43,39,48
270,47,38,49
272,53,40,48
282,70,40,41
275,78,36,47
275,78,36,47
288,97,38,40
283,122,48,48
281,129,55,41
281,130,55,42
281,132,56,44
274,130,63,47
280,129,59,50
269,128,69,48
283,129,56,47
248,126,52,42
242,121,49,41
233,114,51,38
232,113,53,36
226,106,55,38
224,103,49,37
219,96,49,36
216,88,52,38
216,89,52,37
214,85,54,36
213,83,54,36
215,81,54,34
217,79,51,32
217,77,52,34
222,72,48,36
227,68,47,40
232,66,43,41
233,65,45,44
233,66,46,42
233,68,45,42
234,70,47,42
234,75,46,38
234,74,46,41
234,75,45,40
234,77,46,39
234,77,45,39
234,77,47,39
233,77,46,39
233,76,47,39
232,77,47,38
233,78,45,38
230,79,49,39
226,86,51,36
227,87,51,36
226,91,49,41
224,96,51,42
224,102,49,37
224,106,48,38
223,106,48,36
224,109,48,37
224,111,49,34
225,113,54,34
227,115,53,35
228,117,52,33
232,119,49,35
237,122,49,34
244,125,46,35
252,126,46,36
253,127,46,35
263,126,44,33
270,123,47,32
280,123,41,31
283,114,40,32
